ranks,nodes,mem,time
1,1,512M,0.297
1,1,512M,0.212
1,1,512M,0.212
1,1,512M,0.226
2,1,512M,0.307
2,1,512M,0.311
2,1,512M,0.294
2,1,512M,0.299
4,1,512M,0.295
4,1,512M,0.302
4,1,512M,0.292
4,1,512M,0.292
8,1,512M,1.969
8,1,512M,1.735
8,1,512M,1.671
8,1,512M,2.046
16,1,512M,2.121
16,1,512M,2.205
16,1,512M,1.716
2,2,512M,1.983
16,1,512M,2.109
2,2,512M,1.831
2,2,512M,1.796
2,2,512M,0.220
4,2,512M,0.301
4,2,512M,0.308
4,2,512M,0.309
8,2,512M,0.308
4,2,512M,0.301
8,2,512M,0.308
8,2,512M,0.312
8,2,512M,0.302
16,2,512M,0.310
16,2,512M,0.319
4,4,512M,0.198
16,2,512M,0.333
16,2,512M,0.358
4,4,512M,0.245
4,4,512M,0.219
8,4,512M,0.299
8,4,512M,0.297
8,4,512M,0.303
8,4,512M,0.275
16,4,512M,0.318
16,4,512M,0.392
16,4,512M,0.309
16,4,512M,2.027
1,1,1G,1.582
1,1,1G,1.579
1,1,1G,1.905
1,1,1G,1.525
2,1,1G,1.853
2,1,1G,1.942
2,1,1G,1.945
2,1,1G,1.695
4,1,1G,1.954
4,1,1G,1.960
4,1,1G,1.936
4,1,1G,0.298
8,1,1G,0.354
8,1,1G,0.354
8,1,1G,0.335
8,1,1G,0.336
16,1,1G,0.341
16,1,1G,0.350
16,1,1G,0.368
2,2,1G,0.183
16,1,1G,0.324
2,2,1G,0.211
2,2,1G,0.222
2,2,1G,0.232
4,2,1G,0.306
4,2,1G,0.285
4,2,1G,0.297
4,2,1G,0.297
8,2,1G,0.305
8,2,1G,0.295
8,2,1G,0.290
16,2,1G,0.311
16,2,1G,0.330
16,2,1G,2.042
16,2,1G,2.048
4,4,1G,1.897
4,4,1G,1.920
4,4,1G,1.508
4,4,1G,1.642
8,4,1G,1.726
8,4,1G,1.936
8,4,1G,1.938
16,4,1G,1.913
8,4,1G,1.807
16,4,1G,2.281
16,4,1G,0.308
1,1,1500M,0.203
16,4,1G,0.307
1,1,1500M,0.206
1,1,1500M,0.203
1,1,1500M,0.208
2,1,1500M,0.284
2,1,1500M,0.298
2,1,1500M,0.298
2,1,1500M,0.283
4,1,1500M,0.294
4,1,1500M,0.296
4,1,1500M,0.293
4,1,1500M,0.288
8,1,1500M,0.287
8,1,1500M,0.343
8,1,1500M,0.344
16,1,1500M,0.356
8,1,1500M,0.319
16,1,1500M,0.349
16,1,1500M,0.344
2,2,1500M,0.173
16,1,1500M,0.327
2,2,1500M,1.885
2,2,1500M,1.887
2,2,1500M,1.719
4,2,1500M,1.902
4,2,1500M,1.896
4,2,1500M,1.812
4,2,1500M,2.313
8,2,1500M,2.551
8,2,1500M,1.826
8,2,1500M,2.000
16,2,1500M,1.673
16,2,1500M,0.343
4,4,1500M,0.193
16,2,1500M,0.323
16,2,1500M,0.354
4,4,1500M,0.212
4,4,1500M,0.211
4,4,1500M,0.222
8,4,1500M,0.296
8,4,1500M,0.294
8,4,1500M,0.289
8,4,1500M,0.296
16,4,1500M,0.318
16,4,1500M,0.337
16,4,1500M,0.310
1,1,3G,0.203
1,1,3G,0.204
1,1,3G,0.212
1,1,3G,0.212
2,1,3G,0.298
2,1,3G,0.303
2,1,3G,0.301
2,1,3G,2.367
4,1,3G,1.843
4,1,3G,1.960
4,1,3G,1.999
8,1,3G,1.618
8,1,3G,1.791
8,1,3G,1.917
8,1,3G,2.011
2,2,3G,0.219
2,2,3G,0.210
2,2,3G,0.210
2,2,3G,0.206
4,2,3G,0.293
4,2,3G,0.300
4,2,3G,0.296
8,2,3G,0.294
4,2,3G,0.299
8,2,3G,0.285
8,2,3G,0.293
16,2,3G,0.315
16,2,3G,0.328
16,2,3G,0.325
16,2,3G,0.328
4,4,3G,0.213
4,4,3G,0.213
4,4,3G,0.186
4,4,3G,0.212
8,4,3G,0.292
8,4,3G,1.537
8,4,3G,1.613
8,4,3G,1.613
16,4,3G,1.980
16,4,3G,2.039
16,4,3G,2.123
16,4,3G,2.113
