ranks,nodes,mem,time
1,1,512M,1.072
1,1,512M,0.971
1,1,512M,0.969
1,1,512M,0.750
2,1,512M,1.138
2,1,512M,1.362
2,1,512M,1.156
2,1,512M,1.076
4,1,512M,1.412
4,1,512M,1.457
4,1,512M,1.537
4,1,512M,0.243
8,1,512M,0.298
8,1,512M,0.295
16,1,512M,0.317
16,1,512M,0.295
16,1,512M,0.318
8,1,512M,0.308
8,1,512M,0.289
2,2,512M,0.147
2,2,512M,0.149
16,1,512M,0.313
2,2,512M,0.166
2,2,512M,0.167
4,2,512M,0.266
4,2,512M,0.261
4,2,512M,0.262
8,2,512M,0.250
4,2,512M,0.242
8,2,512M,0.249
8,2,512M,0.233
16,2,512M,0.291
8,2,512M,0.249
16,2,512M,0.291
16,2,512M,0.300
4,4,512M,1.174
16,2,512M,1.331
4,4,512M,1.282
4,4,512M,1.206
4,4,512M,1.603
8,4,512M,1.775
8,4,512M,0.742
8,4,512M,0.716
8,4,512M,0.631
16,4,512M,1.595
16,4,512M,1.412
16,4,512M,1.565
16,4,512M,1.594
1,1,1G,0.158
1,1,1G,0.164
1,1,1G,0.156
1,1,1G,0.286
2,1,1G,0.263
2,1,1G,0.266
2,1,1G,0.264
2,1,1G,0.256
4,1,1G,0.269
4,1,1G,0.259
4,1,1G,0.247
4,1,1G,0.247
8,1,1G,0.297
8,1,1G,0.297
16,1,1G,0.303
8,1,1G,0.276
8,1,1G,0.293
16,1,1G,0.315
16,1,1G,0.309
2,2,1G,0.157
2,2,1G,0.154
2,2,1G,0.157
16,1,1G,0.305
4,2,1G,0.264
2,2,1G,1.943
4,2,1G,0.801
4,2,1G,1.033
8,2,1G,1.544
8,2,1G,1.544
8,2,1G,1.443
16,2,1G,1.546
16,2,1G,1.543
8,2,1G,0.255
16,2,1G,1.194
4,4,1G,1.622
16,2,1G,1.739
4,4,1G,1.074
4,4,1G,1.004
4,4,1G,0.174
8,4,1G,0.271
8,4,1G,0.260
8,4,1G,0.252
8,4,1G,0.254
16,4,1G,0.269
16,4,1G,0.296
16,4,1G,0.263
16,4,1G,0.284
1,1,1500M,0.160
1,1,1500M,0.160
1,1,1500M,0.157
1,1,1500M,0.163
2,1,1500M,0.259
2,1,1500M,0.263
2,1,1500M,0.259
2,1,1500M,0.266
4,1,1500M,0.250
4,1,1500M,0.243
4,1,1500M,0.246
8,1,1500M,0.306
8,1,1500M,0.310
4,1,1500M,0.243
8,1,1500M,2.146
8,1,1500M,2.148
16,1,1500M,0.301
16,1,1500M,1.532
16,1,1500M,1.534
16,1,1500M,1.311
2,2,1500M,0.721
2,2,1500M,0.732
2,2,1500M,0.831
2,2,1500M,1.084
4,2,1500M,0.824
4,2,1500M,1.122
4,2,1500M,1.142
4,2,1500M,1.363
8,2,1500M,0.255
8,2,1500M,0.257
8,2,1500M,0.258
8,2,1500M,0.266
16,2,1500M,0.290
16,2,1500M,0.278
4,4,1500M,0.149
16,2,1500M,0.305
16,2,1500M,0.284
4,4,1500M,0.177
4,4,1500M,0.169
4,4,1500M,0.147
8,4,1500M,0.250
8,4,1500M,0.266
8,4,1500M,0.253
8,4,1500M,0.267
16,4,1500M,0.296
16,4,1500M,0.260
16,4,1500M,0.282
1,1,3G,0.142
16,4,1500M,0.305
1,1,3G,0.159
1,1,3G,0.162
2,1,3G,0.512
2,1,3G,0.511
2,1,3G,1.522
2,1,3G,1.045
4,1,3G,1.112
4,1,3G,1.118
4,1,3G,1.434
4,1,3G,1.485
8,1,3G,1.439
8,1,3G,1.121
8,1,3G,1.575
8,1,3G,1.453
2,2,3G,0.169
2,2,3G,0.163
2,2,3G,0.167
2,2,3G,0.168
4,2,3G,0.265
4,2,3G,0.244
4,2,3G,0.267
8,2,3G,0.255
4,2,3G,0.240
8,2,3G,0.259
8,2,3G,0.264
16,2,3G,0.280
16,2,3G,0.304
4,4,3G,0.165
4,4,3G,0.165
16,2,3G,0.302
4,4,3G,0.144
4,4,3G,0.174
8,4,3G,0.724
8,4,3G,0.729
16,4,3G,1.356
16,4,3G,1.433
16,4,3G,0.492
16,4,3G,0.817
