ranks,nodes,mem,time
4,4,512M,0.098
8,4,512M,0.077
4,1,1500M,0.077
8,1,1500M,0.073
8,1,1500M,0.074
8,4,512M,0.094
8,4,512M,0.078
16,4,512M,0.075
8,4,512M,0.078
1,1,512M,0.078
1,1,512M,0.078
16,4,512M,0.092
8,1,1500M,0.073
1,1,512M,0.074
8,1,1500M,0.078
16,4,512M,0.073
16,4,512M,0.074
2,1,512M,0.074
2,1,512M,0.073
1,1,512M,0.072
16,1,1500M,0.081
16,1,1500M,0.080
16,1,1500M,0.075
16,1,1500M,0.073
2,1,512M,0.078
2,2,1500M,0.079
2,1,512M,0.082

1,1,1G,0.082
1,1,1G,0.082
1,1,1G,0.083
4,1,512M,0.081
4,1,512M,0.082
2,1,1G,0.086
4,2,1500M,0.092
1,1,1G,0.085
2,2,1500M,0.086
2,2,1500M,0.086
4,1,512M,0.087
8,1,512M,0.079
2,1,1G,0.074
8,1,512M,0.075
4,2,1500M,0.082
4,2,1500M,0.082
4,2,1500M,0.083
8,1,512M,0.077
4,1,1G,0.080
8,1,512M,0.075

4,1,1G,0.080
4,1,1G,0.080
8,2,1500M,0.093
16,1,512M,0.072
8,1,1G,0.074
73

8,1,1G,0.079
16,1,512M,0.073
16,1,1G,0.075
16,2,1500M,0.073
16,2,1500M,0.074
2,2,512M,0.074
8,1,1G,0.084
16,1,1G,0.073

16,1,1G,0.074
2,2,512M,0.083
4,4,1500M,0.082
4,4,1500M,0.083
4,4,1500M,0.083
16,1,1G,0.073
2,2,1G,0.075
2,2,1G,0.075
8,4,1500M,0.078
8,4,1500M,0.079
4,2,512M,0.082
4,2,512M,0.083
4,2,512M,0.082
4,4,1500M,0.083
4,2,512M,0.075
2,2,1G,0.075
8,4,1500M,0.079
8,4,1500M,0.079
8,2,512M,0.074
16,4,1500M,0.075
4,2,1G,0.075
4,2,1G,0.075
8,2,512M,0.075
2,2,1G,0.075
4,2,1G,0.072
8,2,512M,0.073
16,4,1500M,0.072
16,2,512M,0.072

16,4,1500M,0.074
4,2,1G,0.075
8,2,512M,0.075
16,2,512M,0.079
8,2,1G,0.077
1,1,3G,0.077
16,2,512M,0.073
8,2,1G,0.073
1,1,3G,0.073
1,1,3G,0.073
8,2,1G,0.077
4,4,512M,0.077
16,2,512M,0.079
2,1,3G,0.083
1,1,3G,0.084
16,2,1G,0.074
8,2,1G,0.082
4,4,512M,0.082
4,4,512M,0.083
16,2,1G,0.073
2,1,3G,0.081
2,1,3G,0.081
4,4,512M,0.080
16,2,1G,0.079
16,2,1G,0.078
4,1,3G,0.075
4,1,3G,0.075
8,4,512M,0.081
4,4,1G,0.080
4,4,1G,0.080
2,1,3G,0.079
8,4,512M,0.093
8,4,512M,0.090
8,1,3G,0.073
4,1,3G,0.078
8,4,512M,0.079
8,4,1G,0.079
4,4,1G,0.079
4,4,1G,0.078
4,1,3G,0.073
16,4,512M,0.091
16,4,512M,0.093
8,1,3G,0.072
8,1,3G,0.073
8,4,1G,0.079
8,4,1G,0.078
8,1,3G,0.073
16,4,512M,0.091
1,1,1G,0.070
16,4,1G,0.074
1,1,1G,0.074

1,1,1G,0.075
16,4,1G,0.092
16,4,1G,0.092
2,2,3G,0.090
1,1,1G,0.090
2,1,1G,0.090
