threads,mem,time
2,64M,1.294
1,64M,2.328
4,64M,3.268
1,64M,2.651
2,128M,2.988
8,64M,3.862
1,64M,3.662
1,128M,3.783
4,64M,4.884
2,128M,4.776
1,64M,4.485
2,128M,5.879
2,64M,5.332
2,64M,6.465
1,128M,6.042
4,64M,6.678
8,64M,6.628
2,64M,6.275
1,128M,7.172
1,128M,7.454
8,64M,7.596
4,64M,8.704
8,512M,1.925
8,512M,2.199
4,512M,2.357
4,512M,3.162
1,512M,3.227
2,512M,7.803
2,128M,8.983
1,512M,9.774
8,128M,9.930
4,128M,11.575
2,512M,14.011
1,512M,13.851
4,128M,13.869
4,128M,14.831
4,128M,16.105
2,512M,17.125
8,512M,18.655
1,512M,18.872
4,512M,19.543
8,128M,21.181
2,512M,22.904
8,128M,23.518
8,1G,1.971
8,1G,2.148
4,1G,2.170
2,1G,3.556
2,1500M,2.767
2,1500M,3.195
2,1G,6.741
8,1G,10.016
4,1500M,10.376
2,1G,10.582
2,1G,15.100
2,1500M,19.274
2,1500M,19.694
4,1G,20.020
4,1G,20.019
1,1G,21.994
1,1G,24.958
1,1G,27.546
1,1G,27.898
8,1500M,1.987
8,1500M,2.539
8,1500M,2.054
4,1500M,2.297
2,3G,3.009
1,3G,3.252
1,3G,3.948
4,1500M,11.190
2,3G,18.039
1,3G,19.110
2,3G,19.520
1,3G,20.817
1,1500M,109.506
