threads,mem,input_size,time
2,512M,1000,0.067
4,512M,1000,0.061
2,512M,1000,0.020
4,512M,1000,0.008
4,512M,1000,0.008
2,512M,1000,0.008
2,512M,1000,0.009
4,512M,1000,0.006
8,512M,1000,0.008
8,512M,1000,0.009
8,512M,1000,0.009
1,512M,1000,0.007
1,512M,1000,0.006
1,512M,1000,0.010
8,1500M,1000,0.007
2,1500M,1000,0.006
2,1G,1000,0.008
1,1500M,1000,0.008
2,1500M,1000,0.009
2,1500M,1000,0.010
2,1G,1000,0.009
2,1G,1000,0.009
2,1G,1000,0.007
2,1500M,1000,0.009
1,1500M,1000,0.009
1,1500M,1000,0.354
4,1G,1000,0.018
8,1G,1000,0.006
8,1G,1000,0.014
8,1G,1000,0.007
1,1G,1000,0.007
4,1G,1000,0.009
4,1G,1000,0.006
4,1G,1000,0.006
1,1G,1000,0.007
1,1500M,1000,0.010
1,1G,1000,0.007
4,1500M,1000,0.006
4,1500M,1000,0.007
2,512M,10000,0.033
2,512M,10000,0.033
2,512M,10000,0.032
2,3G,1000,0.007
2,3G,1000,0.008
8,1500M,1000,0.006
1,3G,1000,0.008
8,1500M,1000,0.007
1,3G,1000,0.007
8,1500M,1000,0.006
4,3G,1000,0.006
4,3G,1000,0.007
1,3G,1000,0.011
1,3G,1000,0.007
1,512M,10000,0.044
1,512M,10000,0.046
1,512M,10000,0.045
1,512M,10000,0.046
2,1G,10000,0.036
2,1G,10000,0.033
4,1G,10000,0.028
4,1G,10000,0.029
8,1G,10000,0.030
4,3G,1000,0.006
8,1G,10000,0.031
8,1G,10000,0.029
4,3G,1000,0.006
1,1500M,10000,0.042
4,1G,10000,0.028
4,1G,10000,0.028
8,1G,10000,0.029
2,1G,10000,0.034
4,512M,10000,0.036
2,512M,10000,0.035
4,512M,10000,0.031
2,1G,10000,0.034
4,512M,10000,0.032
4,512M,10000,0.035
8,512M,10000,0.027
8,512M,10000,0.024
8,512M,10000,0.032
8,512M,10000,0.031
1,1G,10000,0.043
1,1G,10000,0.038
1,1G,10000,0.040
1,1G,10000,0.042
2,1500M,10000,0.034
2,3G,10000,0.036
8,1500M,10000,0.030
8,1500M,10000,0.028
4,1500M,10000,0.028
4,3G,10000,0.029
4,1500M,10000,0.029
4,1500M,10000,0.029
4,3G,10000,0.025
2,1500M,10000,0.032
1,1500M,10000,0.040
2,1500M,10000,0.033
1,1500M,10000,0.042
2,3G,10000,0.035
4,1500M,10000,0.032
8,1500M,10000,0.025
2,3G,10000,0.376
1,3G,10000,0.043
1,3G,10000,0.042
1,3G,10000,0.043
1,3G,10000,0.042
4,3G,10000,0.031
4,512M,100000,0.282
2,1G,100000,0.333
4,512M,100000,0.260
2,1G,100000,0.299
4,512M,100000,0.276
4,512M,100000,0.279
2,1G,100000,0.317
8,512M,100000,0.249
8,512M,100000,0.237
2,512M,100000,0.273
2,512M,100000,0.283
2,512M,100000,0.333
1,512M,100000,0.386
1,512M,100000,0.386
1,512M,100000,0.396
2,512M,100000,0.343
1,512M,100000,0.406
1,1G,100000,0.324
1,1G,100000,0.346
1,1G,100000,0.356
4,1G,100000,0.290
8,1G,100000,0.245
2,1G,100000,0.277
8,1500M,100000,0.221
8,1500M,100000,0.242
8,1500M,100000,0.218
4,1500M,100000,0.291
4,1500M,100000,0.269
8,1G,100000,0.241
2,1500M,100000,0.307
2,1500M,100000,0.286
4,1500M,100000,0.244
2,1500M,100000,0.320
1,1500M,100000,0.307
1,3G,100000,0.396
78
4,1G,100000,0.262
4,1G,100000,0.272
4,1G,100000,0.280
1,1500M,100000,0.392
8,1500M,100000,0.222
8,1G,100000,0.253
2,3G,100000,0.295
2,3G,100000,0.322
8,512M,1200000,2.128
4,512M,1200000,2.363
4,512M,1200000,2.431
4,512M,1200000,2.453
4,512M,1200000,2.519
1,3G,100000,0.359
8,512M,1200000,2.201
8,512M,1200000,2.098
1,3G,100000,0.366
2,512M,1200000,7.824
1,512M,1200000,3.615
2,512M,1200000,8.527
1,3G,100000,0.391
2,512M,1200000,9.273
2,512M,1200000,12.270
1,512M,1200000,9.166
1,512M,1200000,6.741
1,512M,1200000,6.691
8,512M,1200000,2.315
8,1G,1200000,2.194
8,1G,1200000,2.239
4,1500M,1200000,2.457
2,1500M,1200000,2.685
4,1G,1200000,2.394
8,1G,1200000,2.654
2,1500M,1200000,2.885
4,1G,1200000,2.515
2,1500M,1200000,2.899
4,1G,1200000,2.645
2,1500M,1200000,3.203
4,3G,100000,0.228
4,3G,100000,0.262
2,1G,1200000,3.214
2,1G,1200000,3.216
2,1G,1200000,3.200
2,1G,1200000,2.753
1,1G,1200000,15.065
1,1G,1200000,15.090
1,1G,1200000,19.600
1,1G,1200000,19.523
8,1500M,1200000,2.075
8,1500M,1200000,2.219
2,3G,1200000,2.934
2,3G,1200000,2.953
2,3G,1200000,3.172
4,1500M,1200000,2.396
4,1500M,1200000,2.395
4,1500M,1200000,2.467
4,3G,1200000,2.091
4,3G,1200000,2.057
4,3G,1200000,2.236
8,1500M,1200000,2.100
4,3G,1200000,2.347
2,3G,1200000,3.075
1,3G,1200000,3.841
1,3G,1200000,3.761
8,1500M,1200000,8.642
1,3G,1200000,3.750
1,3G,1200000,4.970
1,1500M,1200000,111.043
1,1500M,1200000,168.692
1,1500M,1200000,594.651
1,1500M,1200000,597.692
